datarate 		Distance 		Payload data	 	Nodes  		Net_throughput		Delay		NR
2		100		1000		4		0.573661 		0 		1
2		100		1000		5		0.367143 		0 		1
2		100		1000		6		0.25496 		0 		1
2		100		1000		7		0.187318 		0 		1
2		100		1000		8		0.143415 		0 		1
2		100		1000		9		0.113316 		0 		1
2		100		1000		10		0.0917857 		0 		1

2		20		500		2		2.35704 		460.143 		0
2		20		500		3		1.57122 		1239.58 		0
2		20		500		4		1.17835 		1629.25 		0
2		20		500		5		0.942661 		1874.99 		0
2		20		500		6		0.785493 		2202.8 		0
2		20		500		7		0.673192 		3127.56 		0
2		20		500		8		0.589061 		3533.65 		0
2		20		500		9		0.523465 		4283.77 		0
2		20		500		10		0.471132 		17395.4 		0

2		25		500		2		2.35704 		782.788 		0
2		25		500		3		1.57119 		1255.73 		0
2		25		500		4		1.17835 		1852.02 		0
2		25		500		5		0.942615 		2016.11 		0
2		25		500		6		0.785471 		2666.52 		0
2		25		500		7		0.673191 		3380.9 		0
2		25		500		8		0.589 		19150.4 		0
2		25		500		9		0.523527 		4383.1 		0
2		25		500		10		0.471141 		5400.94 		0

2		30		500		2		2.35704 		402.182 		0
2		30		500		3		1.57122 		1619.89 		0
2		30		500		4		1.17835 		1893.28 		0
2		30		500		5		0.942629 		2496.64 		0
2		30		500		6		0.785455 		2571.55 		0
2		30		500		7		0.673225 		3106.57 		0
2		30		500		8		0.588967 		3643.81 		0
2		30		500		9		0.523577 		45707.2 		0
2		30		500		10		0.471163 		17390.8 		0

2		35		500		2		2.35704 		406.139 		0
2		35		500		3		1.57111 		1354.25 		0
2		35		500		4		1.17835 		2035.07 		0
2		35		500		5		0.94263 		2040.18 		0
2		35		500		6		0.785465 		2521.25 		0
2		35		500		7		0.673232 		3201.96 		0
2		35		500		8		0.58903 		19572.9 		0
2		35		500		9		0.523555 		4115.73 		0
2		35		500		10		0.471148 		17338.1 		0

2		40		500		2		2.35704 		661.784 		0
2		40		500		3		1.57121 		1323.04 		0
2		40		500		4		1.17835 		1897 		0
2		40		500		5		0.942613 		2428.28 		0
2		40		500		6		0.785482 		2651.44 		0
2		40		500		7		0.673226 		3091.99 		0
2		40		500		8		0.589032 		3963.75 		0
2		40		500		9		0.523501 		17977.6 		0
2		40		500		10		0.471134 		4882.78 		0

2		45		500		2		2.35704 		716.43 		0
2		45		500		3		1.57123 		1752.18 		0
2		45		500		4		1.17835 		1837.9 		0
2		45		500		5		0.9426 		2316.18 		0
2		45		500		6		0.785436 		2945.64 		0
2		45		500		7		0.673176 		3465.23 		0
2		45		500		8		0.589012 		3999.79 		0
2		45		500		9		0.52354 		18195.7 		0
2		45		500		10		0.471131 		17673.2 		0

2		50		500		2		2.35704 		783.45 		0
2		50		500		3		1.57122 		1129.4 		0
2		50		500		4		1.17834 		1875.53 		0
2		50		500		5		0.942615 		27211.7 		0
2		50		500		6		0.785451 		2577.36 		0
2		50		500		7		0.673206 		3213.79 		0
2		50		500		8		0.588976 		3628.56 		0
2		50		500		9		0.523512 		32532.3 		0
2		50		500		10		0.47109 		4922.29 		0

2		55		500		2		2.35704 		655.096 		0
2		55		500		3		1.5712 		1550.8 		0
2		55		500		4		1.17835 		1687.85 		0
2		55		500		5		0.94257 		2289.23 		0
2		55		500		6		0.785471 		23445.5 		0
2		55		500		7		0.673202 		3128.13 		0
2		55		500		8		0.589024 		19475.3 		0
2		55		500		9		0.52351 		4604.6 		0
2		55		500		10		0.471128 		5265.96 		0

2		60		500		2		2.35704 		717.616 		0
2		60		500		3		1.57122 		1427.56 		0
2		60		500		4		1.17834 		1567.99 		0
2		60		500		5		0.942629 		2473.23 		0
2		60		500		6		0.785471 		2862.87 		0
2		60		500		7		0.673196 		3274.74 		0
2		60		500		8		0.58897 		4177.44 		0
2		60		500		9		0.52342 		4647.03 		0
2		60		500		10		0.471131 		55280.5 		0

2		65		500		2		2.35704 		777.323 		0
2		65		500		3		1.57121 		1041.57 		0
2		65		500		4		0.883779 		1653.96 		1
2		65		500		5		0.754136 		1725.3 		1
2		65		500		6		0.654592 		2554.03 		1
2		65		500		7		0.577044 		3124.51 		1
2		65		500		8		0.515424 		3952.06 		1
2		65		500		9		0.465384 		4371.3 		1
2		65		500		10		0.424023 		5115.14 		1

2		70		500		2		2.35704 		430.869 		0
2		70		500		3		1.50577 		2187.28 		0
2		70		500		4		0.736421 		2546.85 		1
2		70		500		5		0.68339 		3110.67 		1
2		70		500		6		0.621784 		3330.29 		1
2		70		500		7		0.541003 		3934.15 		1
2		70		500		8		0.506008 		4537.49 		1
2		70		500		9		0.45081 		20361.4 		1
2		70		500		10		0.405384 		100682 		1

2		75		500		2		2.06218 		1368 		0
2		75		500		3		0.981657 		2478.94 		1
2		75		500		4		0.552202 		3578.46 		1
2		75		500		5		0.487012 		4040.96 		1
2		75		500		6		0.474216 		5766.23 		1
2		75		500		7		0.432686 		6300.52 		1
2		75		500		8		0.423268 		29598.4 		1
2		75		500		9		0.399844 		8473.04 		1
2		75		500		10		0.36501 		9597.95 		1

2		80		500		2		1.17857 		0 		1
2		80		500		3		0.52381 		0 		1
2		80		500		4		0.294643 		0 		1
2		80		500		5		0.188571 		0 		1
2		80		500		6		0.130952 		0 		1
2		80		500		7		0.0962099 		0 		1
2		80		500		8		0.0736607 		0 		1
2		80		500		9		0.0582011 		0 		1
2		80		500		10		0.0471429 		0 		1

2		85		500		2		1.17857 		0 		1
2		85		500		3		0.52381 		0 		1
2		85		500		4		0.294643 		0 		1
2		85		500		5		0.188571 		0 		1
2		85		500		6		0.130952 		0 		1
2		85		500		7		0.0962099 		0 		1
2		85		500		8		0.0736607 		0 		1
2		85		500		9		0.0582011 		0 		1
2		85		500		10		0.0471429 		0 		1

2		90		500		2		1.17857 		0 		1
2		90		500		3		0.52381 		0 		1
2		90		500		4		0.294643 		0 		1
2		90		500		5		0.188571 		0 		1
2		90		500		6		0.130952 		0 		1
2		90		500		7		0.0962099 		0 		1
2		90		500		8		0.0736607 		0 		1
2		90		500		9		0.0582011 		0 		1
2		90		500		10		0.0471429 		0 		1

2		95		500		2		1.17857 		0 		1
2		95		500		3		0.52381 		0 		1
2		95		500		4		0.294643 		0 		1
2		95		500		5		0.188571 		0 		1
2		95		500		6		0.130952 		0 		1
2		95		500		7		0.0962099 		0 		1
2		95		500		8		0.0736607 		0 		1
2		95		500		9		0.0582011 		0 		1
2		95		500		10		0.0471429 		0 		1

2		100		500		2		1.17857 		0 		1
2		100		500		3		0.52381 		0 		1
2		100		500		4		0.294643 		0 		1
2		100		500		5		0.188571 		0 		1
2		100		500		6		0.130952 		0 		1
2		100		500		7		0.0962099 		0 		1
2		100		500		8		0.0736607 		0 		1
2		100		500		9		0.0582011 		0 		1
2		100		500		10		0.0471429 		0 		1

3		20		1472		2		6.69594 		672.043 		0
3		20		1472		3		4.46333 		1771.78 		0
3		20		1472		4		3.3472 		2373.73 		0
3		20		1472		5		2.67767 		2682.79 		0
3		20		1472		6		2.23105 		3362.78 		0
3		20		1472		7		1.91203 		4774.07 		0
3		20		1472		8		1.67285 		6011.29 		0
3		20		1472		9		1.48677 		6427.88 		0
3		20		1472		10		1.33796 		19830.4 		0

3		25		1472		2		6.69594 		994.688 		0
3		25		1472		3		4.46326 		1787.93 		0
3		25		1472		4		3.34721 		2591.57 		0
3		25		1472		5		2.67746 		3305.28 		0
3		25		1472		6		2.23106 		3930.66 		0
3		25		1472		7		1.91208 		4672.34 		0
3		25		1472		8		1.67256 		5623.3 		0
3		25		1472		9		1.48688 		6341.44 		0
3		25		1472		10		1.33772 		8241.19 		0

3		30		1472		2		6.69594 		614.082 		0
3		30		1472		3		4.46332 		2185.89 		0
3		30		1472		4		3.34716 		2955.73 		0
3		30		1472		5		2.61019 		3636.72 		0
3		30		1472		6		2.23105 		3934.62 		0
3		30		1472		7		1.91201 		4853.14 		0
3		30		1472		8		1.67271 		5951.75 		0
3		30		1472		9		1.48689 		20055.2 		0
3		30		1472		10		1.33793 		7458.53 		0

3		35		1472		2		6.69594 		618.039 		0
3		35		1472		3		4.46294 		1904.45 		0
3		35		1472		4		2.8031 		4388.24 		0
3		35		1472		5		2.25917 		2964.41 		0
3		35		1472		6		2.18344 		4566.32 		0
3		35		1472		7		1.63906 		4214.85 		1
3		35		1472		8		13.5456 		22334.9 		0
3		35		1472		9		1.37962 		20420.7 		0
3		35		1472		10		1.25077 		8144.49 		0

3		40		1472		2		6.69594 		873.684 		0
3		40		1472		3		4.4633 		1855.24 		0
3		40		1472		4		2.51046 		2397.59 		1
3		40		1472		5		2.14207 		3121.63 		1
3		40		1472		6		1.85912 		3765.99 		1
3		40		1472		7		1.63898 		4550.73 		1
3		40		1472		8		1.46386 		4974.7 		1
3		40		1472		9		1.32176 		6100.52 		1
3		40		1472		10		1.20411 		6531.08 		1

3		45		1472		2		6.69594 		928.33 		0
